,name,three_classes
0,Abortiporus biennis,no_value
1,Adelphella babingtonii,no_value
2,Agaricus arvensis,edible
3,Agaricus campestris,edible
4,Agaricus litoralis,edible
5,Agaricus sylvaticus,edible
6,Agaricus sylvicola,edible
7,Agaricus urinascens,edible
8,Agaricus xanthodermus,toxic
9,Agrocybe praecox,no_value
10,Alboleptonia sericella,no_value
11,Aleuria aurantia,edible
12,Amanita battarrae,edible
13,Amanita caesarea,edible
14,Amanita ceciliae,edible
15,Amanita citrina,toxic
16,Amanita citrina var. alba,toxic
17,Amanita crocea,edible
18,Amanita curtipes,edible
19,Amanita excelsa,edible
20,Amanita franchetii,toxic
21,Amanita fulva,edible
22,Amanita gemmata,toxic
23,Amanita muscaria,toxic
24,Amanita muscaria var. aureola,toxic
25,Amanita ovoidea,edible
26,Amanita pantherina,toxic
27,Amanita phalloides,toxic
28,Amanita ponderosa,edible
29,Amanita porphyria,no_value
30,Amanita regalis,toxic
31,Amanita rubescens,edible
32,Amanita strobiliformis,edible
33,Amanita torrendii,no_value
34,Amanita vaginata,edible
35,Amanita verna,toxic
36,Amanita virosa,toxic
37,Amanita vittadinii,edible
38,Ampulloclitocybe clavipes,no_value
39,Arachnopeziza aurelia,no_value
40,Arcyria denudata,no_value
41,Armillaria mellea,edible
42,Armillaria tabescens,edible
43,Arrhenia onisca,no_value
44,Arrhenia spathulata,no_value
45,Ascocoryne cylichnium,no_value
46,Ascocoryne sarcoides,no_value
47,Ascotremella faginea,no_value
48,Asterophora lycoperdoides,toxic
49,Asterophora parasitica,toxic
50,Astraeus hygrometricus,toxic
51,Auricularia auricula-judae,edible
52,Auriscalpium vulgare,no_value
53,Baeospora myosura,no_value
54,Bolbitius titubans,no_value
55,Boletopsis leucomelaena,toxic
56,Boletus aereus,edible
57,Boletus edulis,edible
58,Boletus erythropus,edible
59,Boletus ferrugineus,edible
60,Boletus pinophilus,edible
61,Boletus reticulatus,edible
62,Boletus subtomentosus,edible
63,Bovista plumbea,no_value
64,Bulgaria inquinans,no_value
65,Butyriboletus appendiculatus,edible
66,Butyriboletus pseudoregius,edible
67,Butyriboletus regius,edible
68,Caloboletus calopus,toxic
69,Caloboletus radicans,toxic
70,Calocera cornea,no_value
71,Calocera viscosa,no_value
72,Calocybe gambosa,edible
73,Calvatia gigantea,edible
74,Cantharellus cibarius,edible
75,Cantharellus cinereus,edible
76,Cantharellus lutescens f. schizocroica,edible
77,Cantharellus melanoxeros,edible
78,Cantharellus subpruinosus,edible
79,Ceratiomyxa fruticulosa,no_value
80,Ceratiomyxa porioides,no_value
81,Cerioporus corylinus,edible
82,Cerioporus rhizophilus,no_value
83,Cerioporus squamosus,edible
84,Chalciporus piperatus,toxic
85,Cheilymenia stercorea,no_value
86,Chlorociboria aeruginascens,no_value
87,Chlorophyllum molybdites,toxic
88,Chlorophyllum rachodes,edible
89,Choiromyces meandriformis,toxic
90,Chromosera viola,no_value
91,Chroogomphus helveticus,no_value
92,Chroogomphus rutilus,edible
93,Ciboria amentacea,no_value
94,Ciboria batschiana,no_value
95,Clathrus archeri,toxic
96,Clathrus ruber,toxic
97,Clavaria acuta,no_value
98,Clavaria fragilis,no_value
99,Clavaria fumosa,no_value
100,Clavaria zollingeri,no_value
101,Clavariadelphus pistillaris,no_value
102,Clavariadelphus truncatus,edible
103,Claviceps purpurea,toxic
104,Clavulinopsis corniculata,no_value
105,Clavulinopsis fusiformis,no_value
106,Clavulinopsis helvola,no_value
107,Clavulinopsis luteoalba,no_value
108,Clitocella popinalis,toxic
109,Clitocybe alexandri,edible
110,Clitocybe candida,edible
111,Clitocybe costata,no_value
112,Clitocybe gibba,no_value
113,Clitocybe nebularis,edible
114,Clitocybe odora,no_value
115,Clitocybe phyllophila,toxic
116,Clitocybe rivulosa,toxic
117,Clitopilus prunulus,edible
118,Collybia cirrhata,no_value
119,Collybia cookei,no_value
120,Collybia tuberosa,no_value
121,Comatricha nigra,no_value
122,Conocybe apala,no_value
123,Conocybe arrhenii,no_value
124,Conocybe brunnea,no_value
125,Conocybe filaris,toxic
126,Conocybe mairei,no_value
127,Conocybe ovalis,no_value
128,Conocybe tenera,toxic
129,Conocybe teneroides,no_value
130,Conocybe vestita,no_value
131,Coprinellus micaceus,no_value
132,Coprinopsis atramentaria,toxic
133,Coprinopsis ephemeroides,no_value
134,Coprinopsis erythrocephala,no_value
135,Coprinopsis lotinae,no_value
136,Coprinus comatus,edible
137,Cordyceps militaris,no_value
138,Cortinarius bolaris,no_value
139,Cortinarius cupreorufus,no_value
140,Cortinarius impolitus,no_value
141,Cortinarius inexspectatus,no_value
142,Cortinarius mucosus,no_value
143,Cortinarius praestans,edible
144,Cortinarius triformis,no_value
145,Cortinarius tubarius,no_value
146,Cortinarius vernus,toxic
147,Cortinarius violaceus,no_value
148,Coryne dubia,no_value
149,Craterellus cornucopioides,edible
150,Craterellus lutescens,edible
151,Craterellus tubaeformis,edible
152,Crepidotus autochthonus,no_value
153,Crepidotus crocophyllus,no_value
154,Crepidotus variabilis,no_value
155,Crinipellis scabella,no_value
156,Crucibulum laeve,no_value
157,Cuphophyllus flavipes,edible
158,Cuphophyllus pratensis,edible
159,Cuphophyllus virgineus,edible
160,Cyathus olla,no_value
161,Cyathus stercoreus,no_value
162,Cyathus striatus,no_value
163,Cyclocybe aegerita,edible
164,Cystoderma amianthinum,no_value
165,Cystoderma carcharias,no_value
166,Cystoderma fallax,no_value
167,Cystodermella ambrosii,no_value
168,Cystodermella cinnabarina,no_value
169,Cystodermella granulosa,no_value
170,Dacrymyces stillatus,no_value
171,Dactylosporina kuehneri,no_value
172,Daedalea quercina,toxic
173,Daldinia concentrica,toxic
174,Dasyscyphella nivea,no_value
175,Delicatula integrella,no_value
176,Dermoloma cuneifolium,toxic
177,Dichomitus campestris,toxic
178,Discina ancilis,no_value
179,Disciotis venosa,edible
180,Elaphomyces granulatus,no_value
181,Entoloma aprile,edible
182,Entoloma cetratum,no_value
183,Entoloma clypeatum,edible
184,Entoloma conferendum,toxic
185,Entoloma hirtipes,toxic
186,Entoloma opacum,no_value
187,Entoloma porphyrophaeum,no_value
188,Entoloma sinuatum,toxic
189,Fistulina hepatica,edible
190,Fomes fomentarius,toxic
191,Fomitopsis betulina,toxic
192,Fomitopsis pinicola,toxic
193,Fuligo cinerea,no_value
194,Fuligo septica,no_value
195,Fuscoporia contigua,toxic
196,Galerina clavata,no_value
197,Galerina marginata,toxic
198,Galerina terrestris,no_value
199,Ganoderma applanatum,toxic
200,Ganoderma lucidum,toxic
201,Gautieria graveolens,no_value
202,Geoglossum glabrum,no_value
203,Geopora sumneriana,no_value
204,Gliophorus psittacinus,no_value
205,Glutinoglossum glutinosum,no_value
206,Gomphidius maculatus,no_value
207,Gomphidius roseus,no_value
208,Guepinia helvelloides,edible
209,Guepiniopsis buccina,no_value
210,Gymnopilus junonius,toxic
211,Gymnopilus penetrans,no_value
212,Gymnopus androsaceus,no_value
213,Gymnopus brassicolens,toxic
214,Gymnopus confluens,edible
215,Gymnopus dryophilus,edible
216,Gymnopus fusipes,no_value
217,Gyrodon lividus,edible
218,Gyromitra esculenta,toxic
219,Gyromitra gigas,toxic
220,Gyromitra infula,toxic
221,Gyroporus castaneus,edible
222,Hebeloma birrus,no_value
223,Hebeloma mesophaeum,toxic
224,Hebeloma radicosum,no_value
225,Hebeloma sinapizans,toxic
226,Helvella acetabulum,edible
227,Helvella atra,no_value
228,Helvella crispa,edible
229,Helvella dissingii,no_value
230,Helvella elastica,edible
231,Helvella fusca,edible
232,Helvella lacunosa,edible
233,Helvella leucomelaena,edible
234,Helvella leucopus,edible
235,Helvella macropus,no_value
236,Helvella sulcata,edible
237,Hemimycena cucullata,no_value
238,Hemimycena lactea,no_value
239,Hemitrichia serpula,no_value
240,Hericium cirrhatum,no_value
241,Hericium coralloides,edible
242,Hericium erinaceus,edible
243,Heterobasidion annosum,toxic
244,Hohenbuehelia petaloides,edible
245,Hortiboletus rubellus,no_value
246,Humidicutis calyptriformis,no_value
247,Hydnellum ferrugineum,toxic
248,Hydnocystis bombycina,toxic
249,Hydnum repandum,edible
250,Hydnum rufescens,edible
251,Hygrocybe chlorophana,no_value
252,Hygrocybe coccinea,no_value
253,Hygrocybe conica,no_value
254,Hygrocybe conicoides,no_value
255,Hygrophoropsis aurantiaca,no_value
256,Hygrophorus agathosmus,edible
257,Hygrophorus gliocyclus,edible
258,Hygrophorus latitabundus,edible
259,Hygrophorus marzuolus,edible
260,Hygrophorus marzuolus var. alba,edible
261,Hygrophorus nemoreus,edible
262,Hygrophorus persoonii,edible
263,Hygrophorus roseodiscoideus,edible
264,Hygrophorus russula,edible
265,Hymenoscyphus fructigenus,no_value
266,Hymenoscyphus immutabilis,no_value
267,Hymenoscyphus monticola,no_value
268,Hymenostilbe muscaria,no_value
269,Hypholoma capnoides,no_value
270,Hypholoma fasciculare,toxic
271,Hypholoma lateritium,toxic
272,Hypsizygus ulmarius,edible
273,Imleria badia,edible
274,Imperator luteocupreus,no_value
275,Imperator rhodopurpureus,toxic
276,Imperator torosus,toxic
277,Infundibulicybe geotropa,edible
278,Inocybe geophylla,toxic
279,Inocybe lacera,toxic
280,Inonotus hispidus,toxic
281,Kretzschmaria deusta,toxic
282,Laccaria amethystina,edible
283,Laccaria bicolor,edible
284,Laccaria laccata,edible
285,Lachnellula subtilissima,no_value
286,Lachnum virgineum,no_value
287,Lacrymaria lacrymabunda,edible
288,Lactarius blennius,toxic
289,Lactarius chrysorrheus,toxic
290,Lactarius controversus,toxic
291,Lactarius deliciosus,edible
292,Lactarius hemicyaneus,edible
293,Lactarius indigo,edible
294,Lactarius lilacinus,toxic
295,Lactarius pergamenus,toxic
296,Lactarius piperatus,toxic
297,Lactarius pubescens,toxic
298,Lactarius quieticolor,edible
299,Lactarius sanguifluus,edible
300,Lactarius semisanguifluus,edible
301,Lactarius torminosus,toxic
302,Lactarius turpis,toxic
303,Lactarius violascens,no_value
304,Lactarius volemus,edible
305,Laetiporus sulphureus,no_value
306,Lanmaoa fragrans,edible
307,Leccinellum crocipodium,edible
308,Leccinellum lepidum,edible
309,Leccinum aurantiacum,edible
310,Lentinellus cochleatus,no_value
311,Lentinula edodes,edible
312,Lentinus tigrinus,no_value
313,Leocarpus fragilis,toxic
314,Leotia lubrica,no_value
315,Lepiota brunneoincarnata,toxic
316,Lepiota castanea,toxic
317,Lepiota erminea,no_value
318,Lepista nuda,edible
319,Lepista panaeolus,edible
320,Lepista personata,edible
321,Leucoagaricus leucothites,edible
322,Leucocoprinus badhamii,toxic
323,Leucocortinarius bulbiger,edible
324,Leucopaxillus gentianeus,toxic
325,Leucopaxillus lepistoides,edible
326,Leucopaxillus paradoxus,no_value
327,Limacella illinita,no_value
328,Loweomyces fractipes,toxic
329,Lycogala epidendrum,no_value
330,Lycoperdon echinatum,no_value
331,Lycoperdon perlatum,no_value
332,Lycoperdon utriforme,no_value
333,Lyophyllum decastes,edible
334,Lyophyllum fumosum,edible
335,Lysurus periphragmoides,toxic
336,Macrocystidia cucumis,no_value
337,Macrolepiota mastoidea,edible
338,Macrolepiota procera,edible
339,Macrotyphula juncea,no_value
340,Marasmiellus candidus,no_value
341,Marasmiellus maas-geesterani,no_value
342,Marasmiellus vaillantii,no_value
343,Marasmius collinus,toxic
344,Marasmius graminum,no_value
345,Marasmius oreades,edible
346,Marasmius rotula,no_value
347,Megacollybia platyphylla,no_value
348,Meripilus giganteus,toxic
349,Metatrichia vesparium,no_value
350,Microglossum cyanobasis,no_value
351,Microglossum nudipes,no_value
352,Microglossum olivaceum,no_value
353,Mitrophora semilibera,edible
354,Mitrula paludosa,no_value
355,Morchella conica,edible
356,Morchella costata,edible
357,Morchella elata,edible
358,Morchella esculenta,edible
359,Morchella hortensis,edible
360,Mutinus caninus,toxic
361,Mycena acicula,no_value
362,Mycena corynephora,no_value
363,Mycena pura,toxic
364,Mycena seynii,no_value
365,Mycena tenerrima,no_value
366,Naucoria scolecina,no_value
367,Neoboletus junquilleus,toxic
368,Neobulgaria pura,no_value
369,Omphalotus olearius,toxic
370,Onygena equina,no_value
371,Orbilia delicatula,no_value
372,Panaeolus fimicola,toxic
373,Panaeolus semiovatus,toxic
374,Paralepista flaccida,edible
375,Parasola conopilus,no_value
376,Paxillus involutus,toxic
377,Paxillus rubicundulus,toxic
378,Paxina queletii,no_value
379,Peroneutypa scoparia,toxic
380,Peziza arvernensis,no_value
381,Peziza badia,no_value
382,Peziza varia,no_value
383,Peziza vesiculosa,no_value
384,Phaeolus schweinitzii,toxic
385,Phallus impudicus,toxic
386,Phellinus pomaceus,toxic
387,Pholiota gummosa,no_value
388,Phylloporus rhodoxanthus,no_value
389,Pilobolus kleinii,no_value
390,Pisolithus arhizus,edible
391,Plectania melastoma,no_value
392,Pleurotus citrinopileatus,edible
393,Pleurotus dryinus,edible
394,Pleurotus eryngii,edible
395,Pleurotus nebrodensis,edible
396,Pleurotus ostreatus,edible
397,Plicaturopsis crispa,no_value
398,Pluteus cervinus,edible
399,Pluteus nanus,no_value
400,Polyporus brumalis,toxic
401,Polyporus tuberaster,no_value
402,Polyporus umbellatus,edible
403,Postia stiptica,toxic
404,Protostropharia semiglobata,no_value
405,Psathyrella candolleana,no_value
406,Psathyrella corrugis,no_value
407,Psathyrella spadiceogrisea,no_value
408,Pseudoboletus parasiticus,no_value
409,Pseudoclitocybe cyathiformis,no_value
410,Pseudoclitopilus rhodoleucus,toxic
411,Pseudocraterellus undulatus,edible
412,Psilocybe coprophila,toxic
413,Psilocybe semilanceata,toxic
414,Pycnoporus cinnabarinus,toxic
415,Pyrenopeziza benesuada,no_value
416,Ramaria cedretorum,no_value
417,Ramaria fennica,no_value
418,Ramaria fumigata,no_value
419,Resupinatus applicatus,no_value
420,Reticularia lycoperdon,no_value
421,Rheubarbariboletus armeniacus,no_value
422,Rhizopogon roseolus,no_value
423,Rhodocollybia butyracea,no_value
424,Rhodocollybia maculata,no_value
